"ProbeID"	"GeneID"	"GeneSymbol"	"isSingleGeneID"	"Chip"
"202659_at"	"202659_at"	5699	"PSMB10"	TRUE	"HG-U133_PLUS_2"
"1569129_s_at"	"1569129_s_at"	285237	"C3orf38"	TRUE	"HG-U133_PLUS_2"
"208064_s_at"	"208064_s_at"	51046	"ST8SIA3"	TRUE	"HG-U133_PLUS_2"
"209186_at"	"209186_at"	488	"ATP2A2"	TRUE	"HG-U133_PLUS_2"
"224423_x_at"	"224423_x_at"	5370	"PMCHL2"	TRUE	"HG-U133_PLUS_2"
"208272_at"	"208272_at"	8498	"RANBP3"	TRUE	"HG-U133_PLUS_2"
"208240_s_at"	"208240_s_at"	2246	"FGF1"	TRUE	"HG-U133_PLUS_2"
"58696_at"	"58696_at"	54512	"EXOSC4"	TRUE	"HG-U133_PLUS_2"
"215566_x_at"	"215566_x_at"	11313	"LYPLA2"	TRUE	"HG-U133_PLUS_2"
"225819_at"	"225819_at"	84897	"TBRG1"	TRUE	"HG-U133_PLUS_2"
"1557915_s_at"	"1557915_s_at"	9446	"GSTO1"	TRUE	"HG-U133_PLUS_2"
"207988_s_at"	"207988_s_at"	10109	"ARPC2"	TRUE	"HG-U133_PLUS_2"
"224682_at"	"224682_at"	54467	"ANKIB1"	TRUE	"HG-U133_PLUS_2"
"203594_at"	"203594_at"	8634	"RTCD1"	TRUE	"HG-U133_PLUS_2"
"226637_at"	"226637_at"	7328	"UBE2H"	TRUE	"HG-U133_PLUS_2"
"225074_at"	"225074_at"	84932	"RAB2B"	TRUE	"HG-U133_PLUS_2"
"1567272_at"	"1567272_at"	26248	"OR2K2"	TRUE	"HG-U133_PLUS_2"
"230203_at"	"230203_at"	440918	"FLJ46875"	TRUE	"HG-U133_PLUS_2"
"229518_at"	"229518_at"	115572	"FAM46B"	TRUE	"HG-U133_PLUS_2"
"200899_s_at"	"200899_s_at"	10724	"MGEA5"	TRUE	"HG-U133_PLUS_2"
"237289_at"	"237289_at"	1385	"CREB1"	TRUE	"HG-U133_PLUS_2"
"235359_at"	"235359_at"	375387	"LRRC33"	TRUE	"HG-U133_PLUS_2"
"215603_x_at"	"215603_x_at"	2678	"GGT1"	FALSE	"HG-U133_PLUS_2"
"240614_at"	"240614_at"	3747	"KCNC2"	TRUE	"HG-U133_PLUS_2"
"232322_x_at"	"232322_x_at"	10809	"STARD10"	TRUE	"HG-U133_PLUS_2"
"229902_at"	"229902_at"	2324	"FLT4"	TRUE	"HG-U133_PLUS_2"
"204305_at"	"204305_at"	4285	"MIPEP"	TRUE	"HG-U133_PLUS_2"
"207391_s_at"	"207391_s_at"	8394	"PIP5K1A"	TRUE	"HG-U133_PLUS_2"
"233216_at"	"233216_at"	340481	"ZDHHC21"	TRUE	"HG-U133_PLUS_2"
"219443_at"	"219443_at"	55617	"TASP1"	TRUE	"HG-U133_PLUS_2"
"224169_at"	"224169_at"	10886	"NPFFR2"	TRUE	"HG-U133_PLUS_2"
"241752_at"	"241752_at"	6546	"SLC8A1"	TRUE	"HG-U133_PLUS_2"
"1555567_s_at"	"1555567_s_at"	56203	"LMOD3"	TRUE	"HG-U133_PLUS_2"
